CDSUCURSAL;DSSUCURSAL;SKUID;CDARTICULO;VLDESCRIPCION;ID_CANAL;PRICEOF;DTFROMOF;DTTOOF
0000;San Justo ;176897;176897;Cacao NESQUIK con vitaminas x180gr;VE ;66,99;21/9/2021;27/9/2021
0000;San Justo ;174536;174536;Limpiador CIF crema original x750gr;VE ;109;21/9/2021;27/9/2021
0000;San Justo ;174537;174537;Limpiador CIF crema limon x750gr;VE ;109;21/9/2021;27/9/2021
0000;San Justo ;175502;175502;Crema dental COLGATE herbal x70gr;VE ;68,99;21/9/2021;27/9/2021
0000;San Justo ;156925;156925;Jugo en polvo CLIGHT anana x7/9gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156645;156645;Jugo en polvo CLIGHT limonada x7.5/8gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;171949;171949;Jugo en polvo CLIGHT limonada/pepinox8gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156929;156929;Jugo en polvo CLIGHT mandarina diet x8gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156891;156891;Jugo en polvo CLIGHT manz.delic.x7/7.5gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156926;156926;Jugo en polvo CLIGHT manzana verdex7.5gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156079;156079;Jugo en polvo CLIGHT nara/mango x7/8.5gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156060;156060;Jugo en polvo CLIGHT naranja dulcex7.5gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156647;156647;Jugo en polvo CLIGHT naranja x8gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156646;156646;Jugo en polvo CLIGHT nrja/dur.x7.5/8.5gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156924;156924;Jugo en polvo CLIGHT pera x7gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156927;156927;Jugo en polvo CLIGHT pom.rosado x8/9.5gr;VE ;16,49;21/9/2021;27/9/2021
0000;San Justo ;156928;156928;Jugo en polvo CLIGHT pomelo amarillox8gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;176897;176897;Cacao NESQUIK con vitaminas x180gr;VE ;66,99;21/9/2021;27/9/2021
0002;Burzaco ;174536;174536;Limpiador CIF crema original x750gr;VE ;109;21/9/2021;27/9/2021
0002;Burzaco ;174537;174537;Limpiador CIF crema limon x750gr;VE ;109;21/9/2021;27/9/2021
0002;Burzaco ;175502;175502;Crema dental COLGATE herbal x70gr;VE ;68,99;21/9/2021;27/9/2021
0002;Burzaco ;156925;156925;Jugo en polvo CLIGHT anana x7/9gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156645;156645;Jugo en polvo CLIGHT limonada x7.5/8gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;171949;171949;Jugo en polvo CLIGHT limonada/pepinox8gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156929;156929;Jugo en polvo CLIGHT mandarina diet x8gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156891;156891;Jugo en polvo CLIGHT manz.delic.x7/7.5gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156926;156926;Jugo en polvo CLIGHT manzana verdex7.5gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156079;156079;Jugo en polvo CLIGHT nara/mango x7/8.5gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156060;156060;Jugo en polvo CLIGHT naranja dulcex7.5gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156647;156647;Jugo en polvo CLIGHT naranja x8gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156646;156646;Jugo en polvo CLIGHT nrja/dur.x7.5/8.5gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156924;156924;Jugo en polvo CLIGHT pera x7gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156927;156927;Jugo en polvo CLIGHT pom.rosado x8/9.5gr;VE ;16,49;21/9/2021;27/9/2021
0002;Burzaco ;156928;156928;Jugo en polvo CLIGHT pomelo amarillox8gr;VE ;16,49;21/9/2021;27/9/2021
0006;Moreno ;176897;176897;Cacao NESQUIK con vitaminas x180gr;VE ;66,99;21/9/2021;27/9/2021
0006;Moreno ;174536;174536;Limpiador CIF crema original x750gr;VE ;109;21/9/2021;27/9/2021
